X0,DA_Forecast,ID*,-FL,-FW,-FS,-FL_1d,-FW_1d,-FS_1d,Intraday
1,30.03,,-43.1985,-5.0245,-0.0,,,,36.1198652318214
1,30.09,,-43.1065,-4.40875,-0.0,,,,32.6648142523364
1,28.62,,-42.1585,-3.92475,-0.0,,,,28.8359591628382
1,29.14,,-42.47625,-3.628,-0.0,,,,30.663983909416
1,29.4,,-43.844,-3.49775,-0.0,,,,31.3367434238171
1,32.77,,-47.7765,-3.5095,-0.0,,,,31.7500584
1,44.97,,-56.31325,-3.5335,-0.00275,,,,47.5926353112942
1,56.0,,-62.063,-3.58575,-0.597,,,,54.5333883381164
1,59.06,,-64.32,-3.484,-4.9545,,,,53.2097920255451
1,48.46,,-64.73425,-3.29225,-11.2545,,,,35.5688568969845
1,34.45,,-65.8005,-3.0515,-17.13675,,,,28.3061260867984
1,30.44,,-67.00725,-2.9685,-21.28675,,,,27.7404870775348
1,29.14,,-66.643,-3.174,-23.38775,,,,26.6206372243882
1,30.02,,-65.73925,-3.431,-23.349,,,,22.2751908480614
1,28.81,,-64.15075,-3.5625,-21.43575,,,,19.4000385305506
1,31.38,,-62.781,-3.62225,-17.5745,,,,22.9404763894693
1,36.26,,-61.243,-3.574,-12.02775,,,,28.5948133165829
1,44.48,,-60.64275,-3.4945,-5.77175,,,,37.3547653299766
1,51.57,,-60.87575,-3.5245,-1.18925,,,,46.7425414213871
1,61.0,,-62.82625,-3.688,-0.03125,,,,64.3341804180418
1,55.0,,-60.8895,-3.859,-0.0,,,,56.9202930064418
1,44.95,,-56.56275,-3.79175,-0.0,,,,45.9588183621423
1,39.96,,-52.34925,-3.5455,-0.0,,,,41.8838458008261
1,30.43,,-47.8035,-3.34475,-0.0,,,,35.3726378539493
1,31.37,36.1198652318214,-44.823,-3.3115,-0.0,-43.1985,-5.0245,-0.0,32.1907823470411
1,30.98,32.6648142523364,-42.81275,-3.06125,-0.0,-43.1065,-4.40875,-0.0,31.9709421882465
1,29.93,28.8359591628382,-41.90075,-2.8685,-0.0,-42.1585,-3.92475,-0.0,28.3050337723742
1,30.15,30.663983909416,-42.29175,-2.85625,-0.0,-42.47625,-3.628,-0.0,28.0489344404082
1,30.82,31.3367434238171,-43.68375,-2.82225,-0.0,-43.844,-3.49775,-0.0,30.1253846914557
1,32.3,31.7500584,-47.4795,-2.751,-0.0,-47.7765,-3.5095,-0.0,32.7187017222052
1,44.68,47.5926353112942,-55.86675,-2.63725,-0.0025,-56.31325,-3.5335,-0.00275,45.5795265206111
1,54.92,54.5333883381164,-61.4505,-2.474,-0.5425,-62.063,-3.58575,-0.597,58.2748252044578
